9977.122150 6400.000000,119,6406,143,6406.500000,26,34,46,6405,143,6405.500000,26,79,46,45,121,8000.000000,119,45,86,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,81,45,81,45,62,4800.000000,119,4801,143,8002,143,34,46,4804,143,3201,143,34,46,45,62,8000.000000,119,4800.000000,119,3200.000000,119,128,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,86,4804,143,3201,143,34,46,45,62,4801,143,8002,143,34,46,45,62,6401,143,8001,143,34,46,45,62,128,8004,143,88,3,4802,143,27,3,4803,143,27,3,4805,143,27,3,4806,143,27,3,4807,143,27,3,8004,143,27,3,3202,143,27,3,6403,143,27,3,6401,143,27,3,2,54,128,8004,143,200,143,34,46,45,121,0.500000,26,80,108,106
10039.409963 1600.000000,119,1602,143,1602.500000,26,34,46,45,121,3200.000000,119,3203,143,1601,143,34,46,45,62,8000.000000,119,6400.000000,119,6406,143,6406.500000,26,34,46,6405,143,6405.500000,26,79,46,45,121,45,81,45,86,128,4800.000000,119,45,86,45,62,4800.000000,119,4801,143,8002,143,34,46,4804,143,3201,143,34,46,45,62,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,3200.500000,119,128,45,86,4804,143,3201,143,34,46,45,62,128,8004,143,88,3,4802,143,27,3,4803,143,27,3,4805,143,27,3,4806,143,27,3,4807,143,27,3,8004,143,27,3,3202,143,27,3,6403,143,27,3,6401,143,27,3,2,54,128,8004,143,200,143,34,46,45,121,0.500000,26,80,108,106
10040.728612 8000.000000,119,6400.000000,119,6406,143,6406.500000,26,34,46,6405,143,6405.500000,26,79,46,45,121,45,86,45,81,128,45,81,3200.500000,119,128,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,86,128,45,86,3200.000000,119,128,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,86,45,62,4800.000000,119,4801,143,8002,143,34,46,4804,143,3201,143,34,46,45,62,8004,143,88,3,4802,143,27,3,4803,143,27,3,4805,143,27,3,4806,143,27,3,4807,143,27,3,8004,143,27,3,3202,143,27,3,6403,143,27,3,6401,143,27,3,2,54,128,8004,143,200,143,34,46,45,121,0.500000,26,80,128,108,106
10187.480781 8000.000000,119,6400.000000,119,6406,143,6406.500000,26,34,46,6405,143,6405.500000,26,79,46,45,121,45,81,45,86,3200.000000,119,128,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,86,45,62,4800.000000,119,4801,143,8002,143,34,46,4804,143,3201,143,34,46,45,62,4800.500000,119,3200.000000,119,128,45,86,4801,143,8002,143,34,46,45,62,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,3203,143,1601,143,34,46,45,62,128,8004,143,88,3,4802,143,27,3,4803,143,27,3,4805,143,27,3,4806,143,27,3,4807,143,27,3,8004,143,27,3,3202,143,27,3,6403,143,27,3,6401,143,27,3,2,54,128,8004,143,200,143,34,46,45,121,0.500000,26,80,108,106
10288.015866 6400.000000,119,6406,143,6406.500000,26,34,46,6405,143,6405.500000,26,79,46,45,121,45,81,45,81,3200.000000,119,128,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,86,45,62,4800.500000,119,4801,143,8002,143,34,46,45,62,4800.000000,119,4801,143,8002,143,34,46,4804,143,3201,143,34,46,45,62,3200.500000,119,1600.000000,119,128,1602,143,1602.500000,26,34,46,45,121,45,86,4804,143,3201,143,34,46,45,62,128,8004,143,88,3,4802,143,27,3,4803,143,27,3,4805,143,27,3,4806,143,27,3,4807,143,27,3,8004,143,27,3,3202,143,27,3,6403,143,27,3,6401,143,27,3,2,54,128,8004,143,200,143,34,46,45,121,0.500000,26,80,108,106,128
10362.817932 4800.000000,119,6400.000000,119,6406,143,6406.500000,26,34,46,6405,143,6405.500000,26,79,46,45,121,45,81,128,45,86,45,81,3200.000000,119,4804,143,3201,143,34,46,45,62,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,81,45,81,45,62,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,3203,143,1601,143,34,46,45,62,4800.000000,119,4801,143,8002,143,34,46,4804,143,3201,143,34,46,45,62,128,8004,143,88,3,4802,143,27,3,4803,143,27,3,4805,143,27,3,4806,143,27,3,4807,143,27,3,8004,143,27,3,3202,143,27,3,6403,143,27,3,6401,143,27,3,2,54,128,8004,143,200,143,34,46,45,121,0.500000,26,80,128,108,106
10471.288383 4800.000000,119,8000.000000,119,6400.000000,119,6406,143,6406.500000,26,34,46,6405,143,6405.500000,26,79,46,45,121,8000.000000,119,6401,143,8001,143,34,46,45,62,128,45,86,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,81,45,81,45,62,4801,143,8002,143,34,46,4804,143,3201,143,34,46,45,62,4800.000000,119,3200.000000,119,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,3203,143,1601,143,34,46,45,62,4804,143,3201,143,34,46,45,62,4801,143,8002,143,34,46,45,62,8004,143,88,3,4802,143,27,3,4803,143,27,3,4805,143,27,3,4806,143,27,3,4807,143,27,3,8004,143,27,3,3202,143,27,3,6403,143,27,3,6401,143,27,3,2,54,128,8004,143,200,143,34,46,45,121,0.500000,26,80,108,106
10662.941875 6400.000000,119,6406,143,6406.500000,26,34,46,6405,143,6405.500000,26,79,46,45,121,128,8000.000000,119,45,86,45,81,3200.000000,119,4804,143,3201,143,34,46,45,62,1602,143,1602.500000,26,34,46,45,81,4800.000000,119,8000.000000,119,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,81,45,81,45,62,4801,143,8002,143,34,46,4804,143,3201,143,34,46,45,62,6401,143,8001,143,34,46,45,62,128,8004,143,88,3,4802,143,27,3,4803,143,27,3,4805,143,27,3,4806,143,27,3,4807,143,27,3,8004,143,27,3,3202,143,27,3,6403,143,27,3,6401,143,27,3,2,54,128,8004,143,200,143,34,46,45,121,0.500000,26,80,108,106,128
10971.022388 4800.000000,119,3200.000000,119,4804,143,3201,143,34,46,45,62,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,81,45,81,6400.000000,119,6406,143,6406.500000,26,34,46,6405,143,6405.500000,26,79,46,45,121,45,81,8000.000000,119,6401,143,8001,143,34,46,45,62,45,62,4800.000000,119,4801,143,8002,143,34,46,4804,143,3201,143,34,46,45,62,4801,143,8002,143,34,46,45,62,1602,143,1602.500000,26,34,46,45,81,128,8004,143,88,3,4802,143,27,3,4803,143,27,3,4805,143,27,3,4806,143,27,3,4807,143,27,3,8004,143,27,3,3202,143,27,3,6403,143,27,3,6401,143,27,3,2,54,128,8004,143,200,143,34,46,45,121,0.500000,26,80,128,108,106
11683.882337 6400.000000,119,6406,143,6406.500000,26,34,46,6405,143,6405.500000,26,79,46,45,121,45,81,45,81,1600.000000,119,1602,143,1602.500000,26,34,46,45,121,45,81,45,81,45,62,4800.000000,119,4801,143,8002,143,34,46,4804,143,3201,143,34,46,45,62,4800.000000,119,3200.000000,119,1602,143,1602.500000,26,34,46,45,81,4804,143,3201,143,34,46,45,62,4801,143,8002,143,34,46,45,62,8004,143,88,3,4802,143,27,3,4803,143,27,3,4805,143,27,3,4806,143,27,3,4807,143,27,3,8004,143,27,3,3202,143,27,3,6403,143,27,3,6401,143,27,3,2,54,8004,143,200,143,34,46,45,121,128,0.500000,26,80,128,108,106
